"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",5.69532999319461,1.185219707737,0.936456698417411,1.69278253510468,0.902093461937122,0.549206233709697,0.38350342438062,0.16064488652136,0.144580397869224
"10-19",1.7047035015888,14.2833381209157,1.30163380258665,1.18566530805876,1.56643398939843,0.529121890154809,0.232277945359576,0.137874407585491,0.144580397869224
"20-29",0.808015595257091,1.90622273538844,5.62663841776736,2.81960702295035,2.17449248820808,1.437312439947,0.359143914097419,0.118247966747353,0.124086966826942
"30-39",1.61170544109655,1.12417352392,2.38224676810474,4.39470249867591,2.85213360146632,1.58436243294065,0.571935844094477,0.157658176902531,0.106423170072618
"40-49",1.01080059652209,1.72335874616531,1.96562847733059,2.92435930307591,3.7163699492535,1.69445162412425,0.491504389493342,0.188495917316368,0.141892359212278
"50-59",1.33081529705846,1.4303026829564,2.3440896119131,2.58662584403348,2.90229846792089,2.85819045208512,0.808795532237512,0.220259493961039,0.169646325584731
"60-69",2.00444908258382,1.30973731675707,1.5707735540318,2.33161644861161,1.88288232967091,1.76880878153963,1.66866682572281,0.475043191786463,0.198233544564935
"70-79",1.31512320388951,1.49584938338627,0.638544211211939,1.11546548549685,1.34187268624933,0.903193856799165,1.12069818681307,0.966459353402376,0.532234478564238
"80+",1.18361088350056,1.18361088350056,1.34626444504764,0.574689790090745,1.00391893694717,1.20768541762439,0.812874471119248,1.5269567883592,1.42990924172628
